SIGNATUR,KOMPONIST,EINORDNUNGSTITEL,300$a,590$b,RISM-ID,INDEX
Mus.1218,"Bernasconi, Andrea","Endimione - Excerpts; S, strings, bc",score: 8f.,"",240001090,01
Mus.1217,"Bernasconi, Andrea","Adriano in Siria - Excerpts; S, strings, bc",score: 12f.,"",240001091,01
Mus.1221,"Bernasconi, Andrea","Artaserse - Excerpts; S, orch, bc",score: 16f,"",240001092,01
Mus.1222,"Bernasconi, Andrea","Artaserse - Excerpts; S, strings",score: 8f.,"",240001093,01
Mus.1226,"Bernasconi, Andrea","Il Bajazet - Excerpts; S, orch",score: 16f.,"",240001094,01
"","","",9 parts,"2, 2, 2, 2, 2, 1, 1, 1, 1f.","",02
Mus.1225,"Bernasconi, Andrea","Artaserse - Excerpts; S, orch",score: 14f.,"",240001095,01
"","","",10 parts,"5, 2, 2, 2, 2, 2, 1, 1, 1, 1f.","",02
Mus.1219,"Bernasconi, Andrea","Didone abbandonata - Excerpts; S, orch",score: 8f.,"",240001096,01
Mus.1223,"Bernasconi, Andrea","Il trionfo della costanza - Excerpts; S, strings",score: 8f.,"",240001097,01
Mus.1227,"Bernasconi, Andrea","Didone abbandonata - Excerpts; S, orch, b",8 parts,"2, 2, 2, 2, 2, 2, 1, 1f.",240001098,01
Mus.1224,"Bernasconi, Andrea","Artaserse - Excerpts; S, orch",score: 14f.,"",240001099,01
Mus.1229,"Bertolini, Père","Masses - V (4), Coro, orch",score: 69f.,"",240001100,01
Mus.1233/1,"Berton, Henri-Montan",Aline reine de Golconde,"score: 1, 196f.","",240001101,01
"","","",3 parts,"30, 30, 26f.","",02
Mus.1232/11,"Berton, Henri-Montan","Aline reine de Golconde - Excerpts; Arr; V (2), pf",short score: 10f.,"",240001102,01
Mus.1235,"Berwald, Johann Gottfried","Die Empfindungen eines echten Obotriten - S, orch","score: 20, 1f.","",240001103,01
Nr.2 in Mus.4758 H,"Besser, Theodor Gottlieb","Adams erstes Erwachen zur Liebe - Arr; S (2), pf",short score: 36f.,"",240001104,01
Mus.1236 A 1,"Besser, Theodor Gottlieb","Adams erstes Erwachen zur Liebe - V (2), orch","2 scores: 44, 1f.","",240001105,01
Mus.1236 A,"Besser, Theodor Gottlieb","Das große Halleluja - V (4), Coro, orch",score: 8f.,"",240001106,01
"","","",20 parts,"1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1f.","",02
Mus.1236 A 2,"Besser, Theodor Gottlieb","Die Frühlingsfeier - V (4), Coro, orch",score: 83p.,"",240001107,01
"","","",20 parts,"4, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 1, 1","",02
Mus.1236 A 5,"Besser, Theodor Gottlieb",5 Sonatas - pf,1 part,23f.,240001108,01
Mus.1236 A 4,"Besser, Theodor Gottlieb",Sonatas - cemb,1 part,4f.,240001109,01
Mus.1236 A 3,"Besser, Theodor Gottlieb",2 Sonatas - cemb,1 part,14f.,240001110,01
Mus.1247,"Mengozzi, Bernardo","Il Calzolaro - Arr; V, cemb; RobP 1.71","short score (piano score/2x): 4, 4f.","",240001111,01
Mus.1242,"Bianchi, Antonio",Die Insel der Alcina,score: 142f.,"",240001112,01
"","","",20 parts,"47, 47, 50, 48, 45, 43, 45, 16, 13, 16, 16, 8, 8, 32, 32, 18, 18, 5, 5, 6f.","",02
Mus.1244,"Bianchi, Francesco","Piramo e Tisbe - Excerpts; S (2), orch",score: 18f.,"",240001113,01
Mus.1243,"Bianchi, Francesco","Agar fugiens - V (4), Coro, orch","score: 81, 58f.","",240001114,01
Mus.1248,"Bianchi, Francesco","Non sai qual ben perdei - S, orch",score: 20f.,"",240001115,01
Mus.1245,"Bianchi, Francesco","La vendetta di Nino - Excerpts; V (2), orch",score: 26f.,"",240001116,01
Mus.1246,"Bianchi, Francesco","La morte di Cesare - Excerpts; V (2), orch",score: 20f.,"",240001117,01
"","","",10 parts,"5, 2, 2, 1, 1, 1, 1, 1, 1, 1f.","",02
Mus.1245,"Bianchi, Francesco","La vendetta di Nino - Excerpts; V (2), orch",score: 26f.,"",240001118,01
Mus.83b,"Perti, Giacomo Antonio","La Rosaura - Excerpts; S, orch",score: 4f.,"",240001119,01
"","","",5 parts,"1, 1, 1, 1, 1f.","",02
Mus.83a,"Perti, Giacomo Antonio","La Rosaura - Excerpts; V (2), orch, cemb",score: 3f.,"",240001120,01
"","","",6 parts,"1, 1, 1, 1, 1, 1f.","",02
Mus.20,Anonymus,"Sich in Glück- und Unglücksfällen allemal zufri... - T, strings, bc",score: 2f.,"",240001121,01
"","","",4 parts,"1, 1, 1, 1f.","",02
Mus.1255,"Bigaglia, Diogenio","Concertos - ob (2), strings, cemb",6 parts,"2, 2, 2, 2, 2, 2f.",240001122,01
Mus.1254,"Bigaglia, Diogenio","Sonatas - fl (2), b",3 parts,"2, 2, 2f.",240001123,01
Mus.1254/1,"Bigaglia, Diogenio","Sonatas - fl (2), b",3 parts,"2, 2, 2f.",240001124,01
Mus.1254/2,"Bigaglia, Diogenio","Sonatas - fl (2), b",3 parts,"2, 2, 2f.",240001125,01
Mus.1260,"Birckenstock, Johann Adam","Concertos - vl, strings, bc",5 parts,"2, 1, 1, 1, 2f.",240001126,01
Mus.1264,"Bittermann, Karl Friedrich",Variations - pf,1 part,6f.,240001127,01
Mus.1272,"Blasius, Matthieu-Frédéric","Overtures - fag, strings",4 parts,"2, 2, 1, 1f.",240001128,01
Mus.5872/4B,"Blasius, Matthieu-Frédéric","Quartets - fag, vl, vla, b",3 parts,"2, 2, 2f.",240001129,01
Mus.1275,"Bliesener, Johann","3 Quartets - vl (2), vla, vlc",4 parts,"8, 8, 8, 8f.",240001130,01
Mus.1286/3,"Boccherini, Luigi","Sonatas - vl, cemb; op.5; GerB 28",2 parts,"8, 2f.",240001131,01
Mus.1294,"Bodinus, Sebastian","Sonatas - Fragments; fl, cemb",score: 2f.,"",240001132,01
